f,ASD
2.381180207899021681e-05,3.167163712843891188e-16
2.390338940283587838e-05,3.138176955660539566e-16
2.399532899896494585e-05,3.109460026133897660e-16
2.408762222232205201e-05,3.081010388697297854e-16
2.418027043306349123e-05,3.052825531758785568e-16
2.427327499657713829e-05,3.024902967473559024e-16
2.436663728350240449e-05,2.997240231518583300e-16
2.446035866975078665e-05,2.969834882869203657e-16
2.455444053652575885e-05,2.942684503578090940e-16
2.464888427034350439e-05,2.915786698556076293e-16
2.474369126305297356e-05,2.889139095355287875e-16
2.483886291185678498e-05,2.862739343954126112e-16
2.493440061933140873e-05,2.836585116544515304e-16
2.503030579344825410e-05,2.810674107320952856e-16
2.512657984759400173e-05,2.785004032271786048e-16
2.522322420059184382e-05,2.759572628972257332e-16
2.532024027672199250e-05,2.734377656379733303e-16
2.541762950574301492e-05,2.709416894630687394e-16
2.551539332291277183e-05,2.684688144839732637e-16
2.561353316900938005e-05,2.660189228900591065e-16
2.571205049035284898e-05,2.635917989288793686e-16
2.581094673882594140e-05,2.611872288866486712e-16
2.591022337189602013e-05,2.588050010688855939e-16
2.600988185263608491e-05,2.564449057812622876e-16
2.610992364974676480e-05,2.541067353106149651e-16
2.621035023757754478e-05,2.517902839061543194e-16
2.631116309614890726e-05,2.494953477608369184e-16
2.641236371117372468e-05,2.472217249929313497e-16
2.651395357407952634e-05,2.449692156277424335e-16
2.661593418203031796e-05,2.427376215795219029e-16
2.671830703794848597e-05,2.405267466335495755e-16
2.682107365053732517e-05,2.383363964283749121e-16
2.692423553430283462e-05,2.361663784382440053e-16
2.702779420957647567e-05,2.340165019556752202e-16
2.713175120253714405e-05,2.318865780742196253e-16
2.723610804523409054e-05,2.297764196713662288e-16
2.734086627560907258e-05,2.276858413916287021e-16
2.744602743751944443e-05,2.256146596297749859e-16
2.755159308076048829e-05,2.235626925142330588e-16
2.765756476108861963e-05,2.215297598906400563e-16
2.776394404024416565e-05,2.195156833055567802e-16
2.787073248597420459e-05,2.175202859903383770e-16
2.797793167205606590e-05,2.155433928451470858e-16
2.808554317832006453e-05,2.135848304231332845e-16
2.819356859067325517e-05,2.116444269147498286e-16
2.830200950112233261e-05,2.097220121322325446e-16
2.841086750779754858e-05,2.078174174942119443e-16
2.852014421497582218e-05,2.059304760104869774e-16
2.862984123310483288e-05,2.040610222669278358e-16
2.873996017882628348e-05,2.022088924105388478e-16
2.885050267500020648e-05,2.003739241346464804e-16
2.896147035072839989e-05,1.985559566642446953e-16
2.907286484137886235e-05,1.967548307414646485e-16
2.918468778860969307e-05,1.949703886111929915e-16
2.929694084039313398e-05,1.932024740068254632e-16
2.940962565104025567e-05,1.914509321361479305e-16
2.952274388122486066e-05,1.897156096673652434e-16
2.963629719800845054e-05,1.879963547152474315e-16
2.975028727486429527e-05,1.862930168274236164e-16
2.986471579170259003e-05,1.846054469707903813e-16
2.997958443489472783e-05,1.829334975180648732e-16
3.009489489729862916e-05,1.812770222344505635e-16
3.021064887828321110e-05,1.796358762644447819e-16
3.032684808375391686e-05,1.780099161187568638e-16
3.044349422617736786e-05,1.763989996613654075e-16
3.056058902460703558e-05,1.748029860966844199e-16
3.067813420470837473e-05,1.732217359568618173e-16
